Full name (Google Translate)	Birth Day	Birth Month	Birth Year	Death Day	Death Month	Death Year	Specialty	Source	______ ___	____ ________	____ ______	_____________
Vronchenko Fyodor Pavlovich, Count	15	3	1777	6	4	1852	Statesman	http://www.isaran.ru/?q=ru/persostav	______ ____	27.07.1929		__________ _ _______ _________, ________ _ __________ _____________ ________ ______
Carl Friedrich Gauss	30	4	1777	23	2	1855	Mathematician, astronomer and surveyor	http://www.isaran.ru/?q=ru/persostav	_____ ______	10.05.1838	22.01.1922	_____
Georges Louis Duvernoy	6	8	1777	1	3	1855	Zoologist	http://www.isaran.ru/?q=ru/persostav	___________ _______	15.02.1776	14.02.1837	_____, __________
Ermoloff Alexey	24	5	1777	11	4	1861	Military leader	http://www.isaran.ru/?q=ru/persostav	_______ ______ _________	27.07.1777	17.05.1834	_____
Zubritskiy Denis (Dionysius) I.	1	7	1777	4	1	1862	Historian, archaeologist, archaeographer	http://www.isaran.ru/?q=ru/persostav	______ _____ _________ (_________ ________ _____)	16.12.1853	02.03.1920	_______-_______
Lubyanovsky Fedor Petrovich	9	8	1777	2	2	1869	Writer	http://www.isaran.ru/?q=ru/persostav	______ _____ _________ (______ _______)	25.05.1802	03.07.1879	______, ___________
Grigory Orlov	1	7	1777	23	6	1826	Writer	http://www.isaran.ru/?q=ru/persostav	______ _________ ____ _____ ___	09.09.1844	12.03.1928	______
Rebinder Robert I. (Robert Herman)	15	7	1777	24	2	1841	Philosopher	http://www.isaran.ru/?q=ru/persostav	_____ (_____) ______	21.12.1773	10.06.1858	_______
Tenar Louis-Jacques	4	5	1777	21	6	1857	Chemist	http://www.isaran.ru/?q=ru/persostav	_____ _____ ____ (____ ________) (Braun Josef Adam)	30.06.1712	22.09.1768	_____, __________
Only Carl F. (Carl Friedrich)	8	4	1777	23	4	1842	Engineer, statesman	http://www.isaran.ru/?q=ru/persostav	_____ _______ (_____ _____________ )	02.07.1862	14.06.1942	_______, _______-________
Shakhovskoy Alexander	24	3	1777	22	1	1846	Writer	http://www.isaran.ru/?q=ru/persostav	__________ _________ ________	26.05.1902	01.07.1986	________
Schlegelmilch Alexander Karlovich	1	7	1777	15	12	1831	Mineralogist	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	14.06.1796	13.05.1866	_________
Hans Christian Oersted	14	8	1777	9	3	1851	Physicist	http://www.isaran.ru/?q=ru/persostav	_______ ____ ___	22.10.1704	21.10.1744	________
Wilhelm Ludwig von Eschwege, Baron (ESCHWEGE, Wilhelm Ludwig, von, baron)	15	11	1777	1	2	1855	Geologist, mineralogist	http://www.isaran.ru/?q=ru/persostav	______ _____	01.10.1868	24.04.1944	___________
Gay-Lussac, Joseph-Louis	6	12	1778	9	5	1850	Chemist and physicist	http://www.isaran.ru/?q=ru/persostav	________ _____ _____________	01.12.1831	01.05.1904	________
Augustin Pyramus de Candolle-	4	2	1778	9	9	1841	Botanist	http://www.isaran.ru/?q=ru/persostav	____ (_____) ______ _______ (Brehm ___ Brehme Johann Friedrich)	24.03.1713	31.01.1775	_______, ____________
Sir Humphry Davy, Baronet (DAVY, Humphry, Sir, baronet)	17	12	1778	29	5	1829	Chemist and physicist	http://www.isaran.ru/?q=ru/persostav	_________ _____ _. (Branscomb Lewis M.)	17.08.1926		__________ _ _______ ______________ __________ _ ___________ _______ __________
Ferdinand F. Reiss (Friedrich Ferdinand)	18	2	1778	14	4	1852	Chemist, physician-surgeon	http://www.isaran.ru/?q=ru/persostav	________ ____ ___ ______ _____	18.12.1844	09.09.1931	_________
Reichel Yaakov (Jacob) Y.	6	11	1778	30	10	1856	Numismatist	http://www.isaran.ru/?q=ru/persostav	_____ _________ ______	15.09.1772	04.10.1840	_____
Conrad Jacob Temminck	31	3	1778	30	1	1858	Zoologist	http://www.isaran.ru/?q=ru/persostav	__________ ______ __________	06.05.1917	15.01.2005	__________ _ _______ ______ ______, ___________ _ ______ _______________ ____
Antonovich Trinius Carl (Karl Bernhard)	7	3	1778	29	2	1844	Botanist, physician	http://www.isaran.ru/?q=ru/persostav	_______ _______ _________	13.10.1876	15.03.1961	__________ _ _______ ________ _ ____________
Johann Friedrich Erdmann	18	7	1778	28	1	1846	Medic therapist	http://www.isaran.ru/?q=ru/persostav	___________ _________ ________	22.08.1867	01.06.1933	_______ ______
Amphitheaters Fedor G. (Metropolitan Filaret)	17	4	1779	21	12	1857	Theologian	http://www.isaran.ru/?q=ru/persostav	_______ _________	22.12.1824	14.12.1897	_________, ____________
Berzelius Jens (Jons), Jakob (BERZELIUS, Jo ¨ ns Jacob)	20	8	1779	7	8	1848	Chemist and mineralogist	http://www.isaran.ru/?q=ru/persostav	______ ______ __________	20.01.1877	28.09.1953	__________ _ _______ __________ __________ _ ___________
Grand Duke Constantine Pavlovich	27	4	1779	15	6	1831	Statesman	http://www.isaran.ru/?q=ru/persostav	_________ _________ ________ (___________ _______)	20.11.1826	27.12.1890	________
Viskovatov Vasily	26	12	1779	8	10	1812	Mathematician and engineer	http://www.isaran.ru/?q=ru/persostav	________ _________ _____	18.06.1895	21.08.1969	___________
Karl Leonhard Caesar background (LEONHARD, Carl Ca ¨ sar, von)	12	9	1779	23	1	1862	Mineralogist and geologist	http://www.isaran.ru/?q=ru/persostav	______ _________	11.04.1874	30.04.1946	___________
Bernhard August von Lindenau	11	6	1779	21	5	1854	Astronomer	http://www.isaran.ru/?q=ru/persostav	______ (__ ______) ___-______-____-_______ __, _____	01.08.1892	19.03.1987	_____
Karl Ritter	7	8	1779	28	9	1859	Geographer	http://www.isaran.ru/?q=ru/persostav	______ (__ ______) ___-_____-______-_____ __	27.04.1875	14.07.1960	_____
Saint-Hilaire-Auguste or Augustin-Francois-de Cesar Pruvansal	4	10	1779	30	9	1853	Botanist and traveler	http://www.isaran.ru/?q=ru/persostav	____ ____	04.08.1867	28.01.1961	_______-_______
Sievers Yegor Karlovic	16	8	1779	18	6	1827	Engineer	http://www.isaran.ru/?q=ru/persostav	____ ____ _________	20.08.1805	30.01.1875	_______________ _______
Yakov I. Schmidt (Isaac Jacob)	14	10	1779	27	8	1847	Orientalist in Mongolian, Tibetan studies	http://www.isaran.ru/?q=ru/persostav	_______ _____ ____________	21.02.1921	04.06.1990	__________ _ _______ _____________ _______ __________, ______________ _ _______ ________ _______ ____
Moritz von Engelhardt F.	27	11	1779	29	1	1842	Mineralogist, geologist	http://www.isaran.ru/?q=ru/persostav	_____ ______ ____	13.08.1897	17.11.1975	______, ________
Volkov Alex Gavrilovic	1	7	1780	1	8	1826	Chemist	http://www.isaran.ru/?q=ru/persostav	_____ ______ _____ (BRONN, Heinrich Georg)	03.03.1800	05.07.1862	__________________, ______, ___________
Gaza Carl Benedict	11	5	1780	21	3	1864	Philologist	http://www.isaran.ru/?q=ru/persostav	_________ _______ __________	05.01.1913	07.09.1998	__________ _ _______ __________ _________ __________ _____________ _______ ________ __________
Graefe Fedor Bogdanovich (Christian Friedrich)	20	6	1780	30	11	1851	Philologist	http://www.isaran.ru/?q=ru/persostav	_______ ______-______	14.01.1801	18.02.1876	_______
Kopitar Bartholomew (Bartholomeus)	23	8	1780	11	8	1844	Slavic philologist	http://www.isaran.ru/?q=ru/persostav	______ _____ ________ (____-________)	05.02.1802	03.09.1880	__________
Krasovskii Alexander	15	11	1780	19	11	1857	Historiographer	http://www.isaran.ru/?q=ru/persostav	________ ______ _________	01.07.1849	14.04.1929	_______
Krell (Krelle) August Leopold (Crelle August Leopold)	11	3	1780	6	10	1855	Mathematician, engineer	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________	02.01.1853	24.04.1927	__________
Martin Heinrich Carl Lichtenstein	10	1	1780	3	9	1857	Traveler and zoologist	http://www.isaran.ru/?q=ru/persostav	_______ _______ ____	16.03.1849	29.06.1919	________
Mayurov (IARC) Alexey	1	7	1780	16	10	1848	Mathematician, engineer	http://www.isaran.ru/?q=ru/persostav	_____ ______ ____, ____	18.02.1827	09.09.1894	__________-_________
Nasse Johann Friedrich Wilhelm	24	12	1780	1	8	1818	Chemical engineer	http://www.isaran.ru/?q=ru/persostav	_______ _______ ___________	12.11.1896	05.05.1987	__________ _ _______ ______ __________ _____ _ ______ ________
Nesselrode, Karl V. (Carl Robert), Earl	22	12	1780	11	3	1862	Statesman	http://www.isaran.ru/?q=ru/persostav	____ _____ _________	09.11.1902	06.10.1974	__________ _ _______ ______________ _ ______________ _______
Alexander Pisarev	16	8	1780	23	6	1848	Art critic	http://www.isaran.ru/?q=ru/persostav	_____ ______	23.01.1822	23.07.1894	________
Heinrich Christian Schumacher	3	9	1780	28	12	1850	Astronomer	http://www.isaran.ru/?q=ru/persostav	_______ ______	21.06.1840	11.08.1915	_______, _____
Benckendorf Hristoforovich Alexander, Earl	23	6	1781	11	9	1844	Statesman	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________, _____	31.08.1797	30.03.1875	________
Bartolomeo Borghesi (Italian Bartolomeo Borghesi)	11	7	1781	16	4	1860	Archaeologist numismatist	http://www.isaran.ru/?q=ru/persostav	________ _______ ________	19.09.1782	27.04.1849	________, _________
Borozdin Konstantin Matveevich	13	5	1781	10	5	1848	Archaeologist	http://www.isaran.ru/?q=ru/persostav	_______ (_______) _____ ___	11.12.1781	10.02.1868	_____
Brewster (Brewster) Sir David	11	12	1781	10	2	1868	Physicist	http://www.isaran.ru/?q=ru/persostav	___________ ______ ____________	04.04.1933	30.01.2002	__________ _ _______ __________
Wisniewski Vincent Karlovic	1	7	1781	1	6	1855	Astronomer	http://www.isaran.ru/?q=ru/persostav	____ _______-________ __	25.12.1765	03.09.1832	________
Vostokov Alexander Hristoforovich	16	3	1781	8	2	1864	Slavic philologist	http://www.isaran.ru/?q=ru/persostav	_______ _________	29.01.1856	25.05.1939	_______-_______
Giza Ivan Ivanovich or Ferdinand (Johann Ferdinand Emmanuel)	13	1	1781	10	5	1821	Chemist, pharmacist	http://www.isaran.ru/?q=ru/persostav	_______ ______ _____ _______ ___	29.03.1744	15.04.1814	_____, _________, ________
Littrow Joseph A. (Joseph Samuel, later Josef Johann)	13	3	1781	30	11	1840	Astronomer, surveyor	http://www.isaran.ru/?q=ru/persostav	_____ ______ _____ ___	20.12.1736	22.01.1809	________, _______ __ ________ ____
Lobeck Christian August	5	6	1781	25	8	1860	Philologist	http://www.isaran.ru/?q=ru/persostav	_______ _________ _________	10.11.1851	17.02.1940	_________
Magnus Finn	27	8	1781	24	12	1847	Historian	http://www.isaran.ru/?q=ru/persostav	______ ____-___-______-______	15.08.1823	11.06.1908	_______
Plan Giovanni Antonio Amed	8	11	1781	20	1	1864	Astronomer and surveyor	http://www.isaran.ru/?q=ru/persostav	______ ____-_____	25.05.1810	25.09.1885	_______, ______________
Simeon Denis Poisson	21	6	1781	24	4	1840	Physician, physicist and mathematician	http://www.isaran.ru/?q=ru/persostav	______ ______ __________	21.07.1946		__________ _ _______ __________ __________ __________ ___ _________ ___________ _ __________ ______
Reyssig Hristianovich Cornelius (Cornelius August) background	18	7	1781	24	9	1860	Mechanic, writer	http://www.isaran.ru/?q=ru/persostav	______ ____ __________	01.10.1934		__________ _ _______ ____________ _ ___________________ _____
Steven Christian Christianovich	30	1	1781	18	4	1863	Naturalist, botanist, gardener, an entomologist	http://www.isaran.ru/?q=ru/persostav	______ _______ ____________	25.07.1890	30.11.1949	________, __________ _ _______ _____-_________ ___________
Friedrich Tiedemann	23	8	1781	22	1	1861	Zoologist, anatomist and physiologist	http://www.isaran.ru/?q=ru/persostav	______ _________ __________	25.08.1947		__________ _ _______ ___________, __________ _____________ _ __________ ________ _ _________ ____________ _________ __________, _________________, ______- _ __________________
Evers Johann Philipp Gustav von	4	7	1781	8	11	1830	Historian, lawyer	http://www.isaran.ru/?q=ru/persostav	______ _______ __________	14.09.1837	29.05.1903	_________
Bagrationi T. G.	23	4	1782	25	10	1846	Litterateur	http://www.isaran.ru/?q=ru/persostav	______ ______ ________	03.08.1936	03.04.2002	__________ _ _______ ___________, _____________
Amable Guillaume Prosper Baranth Bryuzher, Baron de (Barante Amable-Guillaume-Prosper Brugière, baron de)	10	6	1782	21	11	1866	Historian	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	16.10.1928	24.02.1996	__________ _ _______ _______ _____________ _ ________________ _____________ _______
Brusilov Nikolai	19	9	1782	27	4	1849	Writer, journalist	http://www.isaran.ru/?q=ru/persostav	_____ _____	12.10.1740	15.01.1815	________ _ _________
Bulgakov Konstantin Y.	31	12	1782	29	10	1835	Statesman	http://www.isaran.ru/?q=ru/persostav	_______ _____ _____________	05.09.1910	18.07.2001	_______-________
Ivan A. Weinman (Johann Anton)	23	12	1782	5	8	1858	Nerd florist	http://www.isaran.ru/?q=ru/persostav	________ ___ __________	22.06.1929	17.09.2012	__________ _ _______ ___________ _ __________ __________ ________, _______________, ________________
View Maximilian, Prince	23	9	1782	3	2	1867	Explorer and naturalist	http://www.isaran.ru/?q=ru/persostav	_____ _______ _________	25.12.1859	05.04.1929	_______-_______, ________
Mikhail Semenovich Vorontsov, Earl	19	5	1782	6	11	1856	Statesman and military leader	http://www.isaran.ru/?q=ru/persostav	______ _____	13.06.1836	15.04.1892	________
Gebler Fedor or Wilhelm (Friedrich August) background	15	12	1782	9	3	1850	Naturalist, anatomist, physiologist, doctor, traveler	http://www.isaran.ru/?q=ru/persostav	_________ _____ _________	24.05.1846	12.12.1908	_______-_______, ________
Vasily Mikhailovich Drozdov (Metropolitan Filaret)	26	12	1782	19	11	1867	Church historian	http://www.isaran.ru/?q=ru/persostav	______ ____ _______	01.05.1918	04.07.1977	_____
Kaidanow Ivan Kuzmich	8	2	1782	9	9	1843	Educator, historian, writer	http://www.isaran.ru/?q=ru/persostav	_______ ____ (_____)	27.10.1835	27.12.1914	________-_______
Mai Angelo Cardinal	7	3	1782	8	9	1854	Philologist, archaeographer	http://www.isaran.ru/?q=ru/persostav	________ ____ ________	21.10.1885	06.12.1968	__________ _ _______ _____ _ __________ ______________ __________
Meyer Georg Friedrich Wilhelm	18	4	1782	19	3	1856	Botanist, forester, economist	http://www.isaran.ru/?q=ru/persostav	______ ______ ________	20.01.1920	10.12.2001	__________ _ _______ _________, _________, ________
Nitsch Christian Ludwig	3	9	1782	16	8	1837	Zoologist	http://www.isaran.ru/?q=ru/persostav	________ __________ ________	08.10.1960		__________ _ _______ _________________
Paskevich-Erivan Ivan, Prince	8	5	1782	20	1	1856	Military leader	http://www.isaran.ru/?q=ru/persostav	________ _________ ________	08.03.1858	01.06.1931	_______ __________
Grigory V. Rosen, Baron	30	9	1782	6	8	1842	Military leader	http://www.isaran.ru/?q=ru/persostav	______ ________ __________	26.04.1945		__________ _ _______ ________ ______________ _______
Peter G. Sobolewski	4	2	1782	24	10	1841	Engineer, a specialist in the field of metallurgy	http://www.isaran.ru/?q=ru/persostav	_____ _______ __________	27.01.1899	21.01.1979	________
Fisher Fedor Bogdanovich (Friedrich Ernst Ludwig) background	20	2	1782	5	6	1854	Botanist	http://www.isaran.ru/?q=ru/persostav	________ ______ ________ (Buxbaum Johann Christian)	05.10.1693	07.07.1730	__________________-_______, ______________
Fran Christian Danilovich (Christian Martin)	23	5	1782	16	8	1851	Orientalist, Arabist, turkologist numismatist	http://www.isaran.ru/?q=ru/persostav	_______ ____ __________	10.08.1911	02.06.1997	__________ _ _______ ___________ _ ________
Vuttig Johann Friedrich Christian	22	3	1783	23	4	1850	Chemist, an expert in the field of technology, mineralogist, a pharmacist	http://www.isaran.ru/?q=ru/persostav	___________ ______ __________	14.04.1888	04.04.1961	_______-__________
Gauenshild Fedor Matveevich (Friedrich Leopold August) background	15	1	1783	18	11	1830	Germanic philologist	http://www.isaran.ru/?q=ru/persostav	_________ ____ ________	11.07.1911	09.07.1999	________
Granville (Granville) Augustus Bozzi (Augustus Bozzi Granville)	7	10	1783	3	3	1872	Philologist, medic	http://www.isaran.ru/?q=ru/persostav	________ _____ ____________	06.08.1900	29.04.1952	_________, __________ _ _______ _____________ ________
Vasily Andreyevich Zhukovsky	29	1	1783	12	4	1852	Poet	http://www.isaran.ru/?q=ru/persostav	________ ______ ________	03.07.1958		__________ _ _______ _____________ _ ____________ ________ ________
Heinrich Klaproth Julius (Julius)	11	10	1783	8	8	1835	Orientalist and Sinologist, traveler	http://www.isaran.ru/?q=ru/persostav	________ __________ _________	31.12.1782	29.10.1835	_______________ _______
Spassky Grigory	15	9	1783	29	4	1864	Orientalist, historian, archaeologist, a mining engineer	http://www.isaran.ru/?q=ru/persostav	________ ______ ________ (_______ _______)	19.09.1816	09.06.1882	_______ ______
Tanner Karl Ivanovich	22	6	1783	8	1	1860	Astronomer, surveyor	http://www.isaran.ru/?q=ru/persostav	________ ____ ________	15.10.1743	07.07.1809	__________
Freygang Vasily (Wilhelm) background	1	7	1783	31	3	1849	Diplomat, philologist Slavic	http://www.isaran.ru/?q=ru/persostav	________ _________ (___________ _______)	21.08.1715	27.05.1806	________, ________
Zipser Christian Andreas (ZIPSER, Christian Andreas)	25	11	1783	20	2	1864	Geologist, mineralogist	http://www.isaran.ru/?q=ru/persostav	________ ______ _________	01.07.1766	28.05.1830	__________ __ _________ ____
Friedrich Wilhelm Bessel	22	7	1784	17	3	1846	Astronomer	http://www.isaran.ru/?q=ru/persostav	_____ _______ _______	03.02.1824	24.05.1895	_______ __________
Besser Willibald Gotlibovich (Gottlieb) background	7	7	1784	11	10	1842	Botanist and taxonomist, a florist, an entomologist, a medic	http://www.isaran.ru/?q=ru/persostav	_____ ______	14.08.1925		________, __________ _ _______ ______ ______
Christopher Gansteen	26	9	1784	15	4	1873	Astronomer, mathematician, physicist	http://www.isaran.ru/?q=ru/persostav	_____ _________ _________ ___	24.09.1803	06.07.1890	_______, _______, ______________
Gnedich Nikolai	2	2	1784	3	2	1833	Poet, translator	http://www.isaran.ru/?q=ru/persostav	_____ _______ ____________	11.11.1823	03.06.1895	_________
Holstein-Oldenbursky Georgy (Peter Friedrich Georg), Prince	9	5	1784	15	12	1812	Statesman	http://www.isaran.ru/?q=ru/persostav	_____ _______ ______	01.07.1750	01.08.1830	__________, __________
Dupin Pierre-Charles-François	6	10	1784	18	1	1873	Mathematician, economist and politician	http://www.isaran.ru/?q=ru/persostav	______ ______ _________	31.03.1811	16.08.1899	_____
Montagne Jean-Francois-Camille	15	2	1784	5	1	1866	Botanist, physician	http://www.isaran.ru/?q=ru/persostav	_____ ____ __________	22.10.1870	08.11.1953	________
Postnikov Yegor Petrovich (Metropolitan Gregory)	1	11	1784	21	6	1860	Theologian	http://www.isaran.ru/?q=ru/persostav	_____ _____ ___________	25.10.1929	20.10.2001	_________
Friedrich Wilhelm Thiersch	17	6	1784	25	2	1860	Philologist and teacher	http://www.isaran.ru/?q=ru/persostav	______ _____ __________	16.07.1922	22.05.2007	__________ _ _______ ____________, ____________ _ ______ __________
Chizhov Dmitry S.	19	10	1784	26	5	1852	Mathematician	http://www.isaran.ru/?q=ru/persostav	______ _____ __________	17.01.1929		__________ _ _______ ________________ _ _________ ______
Fornications Dmitri	5	4	1785	19	2	1864	Writer, statesman	http://www.isaran.ru/?q=ru/persostav	___________ ______ _________	03.12.1804	30.11.1889	_________
Beck Philip Augustus	24	11	1785	3	8	1867	Scholar	http://www.isaran.ru/?q=ru/persostav	___ _______	22.02.1927		_______
Jacob Ludwig Carl Grimm	4	1	1785	20	9	1863	Philologist	http://www.isaran.ru/?q=ru/persostav	_________ _______ _________	16.05.1953		__________ _ _______ ___________ ________ _ __________ _____________ _________ _ ______________ ______________
William Jackson Hooker	6	7	1785	12	8	1865	Botanist	http://www.isaran.ru/?q=ru/persostav	______ ____ _______	12.06.1776	16.07.1847	________
Dibich-Zabalkansky Ivan Ivanovich, Count	13	5	1785	29	5	1831	Military leader	http://www.isaran.ru/?q=ru/persostav	________ _______ _______	08.05.1878	11.11.1946	___________
Ledebour Karl Christian Friedrich von	8	7	1785	4	7	1851	Naturalist, botanist, mineralogist, zoologist	http://www.isaran.ru/?q=ru/persostav	_______ ________ _____________	20.08.1947		__________ _ _______ ________ ______________ ________ ____.
Perevoshchikov Vasili Matveyevich	1	4	1785	6	10	1851	Philologist	http://www.isaran.ru/?q=ru/persostav	________ (________) ______ ____	30.04.1773	21.06.1825	________ _ _________
South (Sout) James	15	10	1785	19	10	1867	Astronomer	http://www.isaran.ru/?q=ru/persostav	______ ________ (________)	26.04.1707	20.01.1779	_____, _______
Mikhail Soloviev	1	7	1785	16	1	1856	Physicist, chemist	http://www.isaran.ru/?q=ru/persostav	__________ ____ ______ ______	15.01.1807	02.05.1892	_____ _ ______
Alexander Turgenev	27	3	1785	5	12	1845	Historian archaeographer	http://www.isaran.ru/?q=ru/persostav	________ ________ _________	18.09.1932		__________ _ _______ ___________________ __________ __ ______ ___________ _ ______ ________.
Arago Dominique Francois Jean (Fr. Dominique François Jean Arago)	26	2	1786	2	10	1853	Astronomer, physicist	http://www.isaran.ru/?q=ru/persostav	______ ________ _________	11.02.1927	14.06.2005	__________ _ _______ ______ __________ _ ______ _______________ _____________ ___
Bazin Peter (Pierre-Dominique) (Pierre Dominique Bazaine)	13	1	1786	29	9	1838	Mathematician, engineer, engineer	http://www.isaran.ru/?q=ru/persostav	_____ (_____) _____	30.08.1752	16.02.1816	_________
Bongard Gustav P. (Gustav Heinrich)	12	9	1786	25	8	1839	Physician and botanist	http://www.isaran.ru/?q=ru/persostav	_______ _____ ________	13.04.1818	31.07.1897	_______ __________ _ _________
Gand Ferdinand Gotthelf	15	2	1786	14	3	1851	Classical scholar, writer and archaeologist	http://www.isaran.ru/?q=ru/persostav	_______ ____ _____________	22.11.1929	16.02.2001	__________ _ _______ ______________ _____, _____ _ __________ ______ _________ _ ______________ __________
Vasily Grigorovich	31	12	1786	15	5	1865	Art critic	http://www.isaran.ru/?q=ru/persostav	________ _______ _______________	15.02.1922	25.02.1977	_________
Christian Frederick VIII, King	18	9	1786	20	1	1848	Statesman	http://www.isaran.ru/?q=ru/persostav	_____ ____ _____ (______ ______)	14.09.1763	20.07.1835	_______
Orlov Aleksey Fedorovich, Prince	8	10	1786	9	5	1861	Statesman	http://www.isaran.ru/?q=ru/persostav	_______ _____ __________	13.09.1920	26.03.2004	__________ _ _______ _________ ________
Sergey Semenovich Uvarov	25	8	1786	4	9	1855	Statesman	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	19.06.1872	04.11.1942	________ ________, ___________, ________
Wilson (Wilson) Horace Hayman	26	9	1786	8	5	1860	Orientalist and Sanskrit scholar and Indologist	http://www.isaran.ru/?q=ru/persostav	______ ________ ________	10.04.1813	28.03.1881	_______________ _______
Johannes Vogt	27	8	1786	23	9	1863	Historian	http://www.isaran.ru/?q=ru/persostav	______ ____ ___________	17.12.1775	12.12.1857	_______
Michel Eugène Chevreul-	31	8	1786	9	4	1889	Chemist	http://www.isaran.ru/?q=ru/persostav	________ _________ __________	25.08.1828	05.08.1886	_____-_______
Schilling von Cannstatt Paul (Paul) L.	5	4	1786	25	7	1837	Orientalist and Sinologist, a specialist in the field of electrical	http://www.isaran.ru/?q=ru/persostav	______-____ ______	14.11.1922		__________ _ _______ _____________ _________ _ _____
Alexander Bazhenov	30	6	1787	6	7	1862	Orientalist, writer	http://www.isaran.ru/?q=ru/persostav	_____ ______-_____-____	28.07.1845	22.11.1921	_______
Greek Nikolai	3	8	1787	12	1	1867	Writer, journalist, scholar of Slavic Studies	http://www.isaran.ru/?q=ru/persostav	_______ _____ _________	15.08.1949		__________ _ _______ _____________ ______________
Destro Gugovich Maurice (Jean-Antoine-Maurice)	15	7	1787	10	11	1855	Railway engineer, writer	http://www.isaran.ru/?q=ru/persostav	_______ _____ _________	15.08.1949		_____________
Vuk Stefanovic Karadzic	7	11	1787	7	2	1864	Philologist and folklorist	http://www.isaran.ru/?q=ru/persostav	_______ _____ __________	24.07.1949		__________ _ _______ __________ __________ ___ __________ _______ _ __________
Klementevsky Nikolai Stepanovich (Metropolitan Nikanor)	26	11	1787	17	9	1856	Theologian	http://www.isaran.ru/?q=ru/persostav	___ ________ ________ ___ (BUCH, Christian Leopold, von)	25.04.1774	04.03.1853	______
Kochetov Joachim S.	1	9	1787	16	3	1854	Linguist	http://www.isaran.ru/?q=ru/persostav	_______ _______ ________	09.10.1888	15.03.1938	____________ _______
Lansky Sergei Stepanovich	23	12	1787	26	1	1862	Statesman	http://www.isaran.ru/?q=ru/persostav	_______ ____ __________	16.09.1937		__________ _ _______ _______ _________ _______________ (_____________ ____________)
Mikhail Lobanov Evstafievich	8	11	1787	5	6	1846	Poet	http://www.isaran.ru/?q=ru/persostav	________ (_______) _________ ______ _________	23.09.1734	16.12.1798	_____
Malov Alexei Ivanovich, Archpriest	1	7	1787	31	10	1855	Theologian	http://www.isaran.ru/?q=ru/persostav	_________ _______ ________	14.10.1961		__________ _ _______ _____________ ________ _ ______________ ______________
Alexander Menshikov, Prince	15	8	1787	19	4	1869	Statesman	http://www.isaran.ru/?q=ru/persostav	_________ ______ _________	01.04.1943		__________ _ _______ _________, _______, _______________ _______, ______________ ______, _______________ _______ ______, _______________ _____________ _ __________
Pavskiy Gerasim Petrovich	3	3	1787	7	4	1863	Philologist and orientalist Hebraist	http://www.isaran.ru/?q=ru/persostav	_________ ________ __________	07.09.1935		__________ _ _______ ______ ________, __________ ________, __________________ _ ______ __________ _______
Pauker Georg von Magnus (Magnus-Georg von Paucker)	15	11	1787	19	8	1855	Mathematician, physicist, astronomer	http://www.isaran.ru/?q=ru/persostav	___ _______ __________	10.11.1869	07.08.1941	________-_______, _______-__________
Jan Evangelista Purkinje	17	12	1787	28	7	1869	Biologist	http://www.isaran.ru/?q=ru/persostav	_________ ________ ________	13.03.1885	22.04.1960	______, ________
Smith Fedor	9	1	1787	11	3	1865	Military historian	http://www.isaran.ru/?q=ru/persostav	______ _______ _________	15.10.1910	19.03.1983	__________ _ _______ _______ ____________ _ _________ __________
Tarkhans Pavel	29	10	1787	16	3	1839	Astronomer	http://www.isaran.ru/?q=ru/persostav	______ __________ _________	23.05.1914	28.10.1978	__________ _ _______ _______-___________ _______
Friedrich Gottlieb Tafel Lucas	6	9	1787	14	10	1860	Philologist and historian	http://www.isaran.ru/?q=ru/persostav	______ _____ __________	21.02.1927		__________ _ _______ ______________ _____ _ __________, ___________ _____ _ ________
Joseph Hamel Hristianovich	30	1	1788	22	9	1862	Chemical engineer	http://www.isaran.ru/?q=ru/persostav	__________ __________ _____	06.07.1837	05.09.1925	__________-____________, ________, _______
Gipping Andreas Johannes	18	12	1788	8	11	1862	Historian	http://www.isaran.ru/?q=ru/persostav	_____ _______ __________	02.01.1926	20.07.1998	__________ _ _______ _______________ _________ ______
Dashkov Dmitry Vasilyevich	29	12	1788	26	11	1839	Writer, lawyer	http://www.isaran.ru/?q=ru/persostav	_____ __________ __________	20.01.1886	13.05.1959	________
Pavel Dmitrievich Kiselyov, Earl	8	1	1788	26	11	1872	Statesman, military leader, diplomat	http://www.isaran.ru/?q=ru/persostav	_____ ____ __________	15.10.1926		__________ _ _______ ______ _ _______ _____________ _________
Knyazhevich Dmitry Maksimovic	25	4	1788	1	10	1844	Ethnographer, archaeologist	http://www.isaran.ru/?q=ru/persostav	_________ ______ __________	05.09.1957		__________ __ ______ _____, ___________ ________ _ __ ___________
Perevoshchikov Dmitrii Matveevich	17	4	1788	3	9	1880	Astronomer, mathematician	http://www.isaran.ru/?q=ru/persostav	_______ ________ _________	31.12.1935	13.08.1990	__________ _ _______ ____________
Jean-Victor Poncelet	1	7	1788	22	12	1867	Physicist, mathematician	http://www.isaran.ru/?q=ru/persostav	_________ _____ ________	27.08.1908	26.01.1974	______, ___________
